,Date,year,month,monthf,week,weekday,weekdayf,ma_short,ma_medium,ma_long,BT_Close,BT_Open,BT_High,BT_Low,BT_Volume,ETH_Close,ETH_Volume,ADA_Close,ADA_Volume,XRP_Close,XRP_Volume,BNB_Close,BNB_Volume,USDT_Close,USDT_Volume
1006,2017-10-02,2017,10,October,40,2,Monday,4226.084263392857,3955.78279296875,3452.491509331597,4409.31982421875,4395.81005859375,4470.22998046875,4377.4599609375,1431730048,297.4750061035156,339443008.0,0.02593199908733368,57641300.0,0.20267599821090698,77412304,1.964669942855835,19367700.0,1.0017000436782837,126009000.0
1007,2017-10-03,2017,10,October,40,3,Tuesday,4286.817103794643,3959.3319921875,3471.0675702335857,4317.47998046875,4408.4599609375,4432.47021484375,4258.89013671875,1288019968,292.4630126953125,321680000.0,0.020816000178456306,16997800.0,0.20331799983978271,48703100,1.8207000494003296,14411500.0,1.0001200437545776,137567008.0
1008,2017-10-04,2017,10,October,40,4,Wednesday,4290.915666852678,3959.463984375,3488.0060541942867,4229.35986328125,4319.3701171875,4352.31005859375,4210.419921875,1116770048,292.6579895019531,257906000.0,0.0219310000538826,9000050.0,0.2147739976644516,123573000,1.6014800071716309,7227750.0,1.0012500286102295,114903000.0
1009,2017-10-05,2017,10,October,40,5,Thursday,4312.869977678572,3967.68279296875,3505.719388711332,4328.41015625,4229.8798828125,4362.64013671875,4164.0498046875,1161769984,295.8630065917969,253747008.0,0.02148899994790554,5562510.0,0.2370160073041916,404299008,1.6784900426864624,7503500.0,1.0003000497817993,119952000.0
1010,2017-10-06,2017,10,October,40,6,Friday,4342.547154017857,3976.06439453125,3524.2192876025883,4370.81005859375,4324.4599609375,4413.27001953125,4320.52978515625,1069939968,308.5880126953125,318664000.0,0.018539000302553177,7780710.0,0.23403899371623993,167492000,1.5799100399017334,6076260.0,1.0010900497436523,92153696.0
1013,2017-10-09,2017,10,October,41,9,Monday,4436.492885044643,4081.70599609375,3588.7397929490216,4772.02001953125,4614.52001953125,4878.7099609375,4564.25,1968739968,297.3919982910156,559467008.0,0.022113999351859093,4663310.0,0.2518250048160553,610110016,1.4037799835205078,9667100.0,0.999779999256134,178567008.0
1014,2017-10-10,2017,10,October,41,10,Tuesday,4502.851492745535,4127.4848046875,3611.143128057923,4781.990234375,4776.2099609375,4922.169921875,4765.10009765625,1597139968,299.8699951171875,359705984.0,0.02153100073337555,2725600.0,0.2607330083847046,384048992,1.3933600187301636,6912770.0,0.9994410276412964,137687008.0
1015,2017-10-11,2017,10,October,41,11,Wednesday,4588.154366629465,4175.54240234375,3633.6162602588383,4826.47998046875,4789.25,4873.72998046875,4751.6298828125,1222279936,303.45599365234375,264146000.0,0.022520000115036964,3606720.0,0.2644389867782593,161206000,1.4337300062179565,6123140.0,0.9986249804496765,85384600.0
1016,2017-10-12,2017,10,October,41,12,Thursday,4747.940080915178,4250.10361328125,3662.3528275923295,5446.91015625,4829.580078125,5446.91015625,4822.0,2791610112,304.135986328125,527556992.0,0.02625199966132641,8680640.0,0.24841399490833282,245004000,1.3437600135803223,5275850.0,0.997422993183136,216202000.0
1017,2017-10-13,2017,10,October,41,13,Friday,4930.282924107143,4313.384013671875,3693.046260949337,5647.2099609375,5464.16015625,5840.2998046875,5436.85009765625,3615480064,338.7569885253906,1304359936.0,0.03364099934697151,15613600.0,0.26048898696899414,398688992,1.435479998588562,5705760.0,1.0000499486923218,319484992.0
