,Date,BT_Close,BT_Volume,GSPC_Close,EMA,MA,year,month,Forecast_ARIMAX
1089,2020-01-01,7200.17431640625,18565664997.0,3230.780029296875,7262.890328886377,7279.495256696428,2020,1,7175.887268638605
1090,2020-01-02,6985.47021484375,20802083465.0,3257.85009765625,7193.53530037572,7243.281459263393,2020,1,7075.75282471694
1091,2020-01-03,7344.88427734375,28111481032.0,3234.85009765625,7231.372544617728,7251.109444754465,2020,1,7226.295036940188
1092,2020-01-04,7410.65673828125,18444271275.0,3234.85009765625,7276.1935930336085,7264.347516741072,2020,1,7306.998681435946
1093,2020-01-05,7411.3173828125,19725074095.0,3234.85009765625,7309.974540478332,7262.728166852678,2020,1,7428.832859656399
1094,2020-01-06,7769.21923828125,23276261598.0,3246.280029296875,7424.785714929061,7330.760184151785,2020,1,7661.760441706128
1095,2020-01-07,8163.6923828125,28767291327.0,3237.179931640625,7609.512381899921,7469.344935825893,2020,1,7970.122076554591
1096,2020-01-08,8079.86279296875,31672559265.0,3253.050048828125,7727.099984667128,7595.014718191965,2020,1,8088.974860813411
1097,2020-01-09,7879.0712890625,24045990466.0,3274.699951171875,7765.092810765971,7722.672014508928,2020,1,7916.471873717412
1098,2020-01-10,8166.55419921875,28714583844.0,3265.35009765625,7865.458157879166,7840.053431919643,2020,1,8006.124489786824
1099,2020-01-11,8037.53759765625,25521165085.0,3265.35009765625,7908.478017823437,7929.607840401785,2020,1,7943.599026025834
1100,2020-01-12,8192.494140625,22903438381.0,3265.35009765625,7979.482048523828,8041.204520089285,2020,1,7923.077534476363
1101,2020-01-13,8144.1943359375,22482910688.0,3288.1298828125,8020.660120377246,8094.772391183035,2020,1,7938.409886582669
1102,2020-01-14,8827.7646484375,44841784107.0,3283.14990234375,8222.43625239231,8189.639857700893,2020,1,8454.788576920904
1103,2020-01-15,8807.0107421875,40102834650.0,3289.2900390625,8368.579874841107,8293.518136160714,2020,1,8665.797094837215
1104,2020-01-16,8723.7861328125,31313981931.0,3316.81005859375,8457.381439333954,8414.191685267857,2020,1,8652.082690842339
1105,2020-01-17,8929.0380859375,36372139320.0,3329.6201171875,8575.29560098484,8523.117954799107,2020,1,8810.715276934161
1106,2020-01-18,8942.80859375,32337772627.0,3329.6201171875,8667.17384917613,8652.4423828125,2020,1,8809.94380958965
1107,2020-01-19,8706.2451171875,34217320471.0,3329.6201171875,8676.941666178971,8725.835379464286,2020,1,8700.298975413287
1108,2020-01-20,8657.642578125,26422375678.0,3329.6201171875,8672.116894165478,8799.185128348214,2020,1,8504.128435473407
1109,2020-01-21,8745.89453125,24097418512.0,3320.7900390625,8690.561303436609,8787.48939732143,2020,1,8573.172994811408
1110,2020-01-22,8680.8759765625,22600204051.0,3321.75,8688.139971718081,8769.470145089286,2020,1,8595.585471185763
1111,2020-01-23,8406.515625,25770680779.0,3325.5400390625,8617.73388503856,8724.145786830357,2020,1,8488.64102636725
1112,2020-01-24,8445.4345703125,24397913026.0,3295.469970703125,8574.659056357044,8655.0595703125,2020,1,8492.16675987065
1113,2020-01-25,8367.84765625,19647331549.0,3295.469970703125,8522.956206330282,8572.922293526786,2020,1,8480.687190916524
1114,2020-01-26,8596.830078125,22177678796.0,3295.469970703125,8541.42467427896,8557.291573660714,2020,1,8578.905600735301
1115,2020-01-27,8909.8193359375,28647338393.0,3243.6298828125,8633.523339693595,8593.316824776786,2020,1,8813.010214771639
1116,2020-01-28,9358.58984375,34398744403.0,3276.239990234375,8814.789965707696,8680.8447265625,2020,1,9207.92923691364
1117,2020-01-29,9316.6298828125,30682598115.0,3273.39990234375,8940.249944983896,8771.666713169643,2020,1,9386.877658214993
1118,2020-01-30,9508.9931640625,32378792851.0,3283.659912109375,9082.435749753547,8929.163504464286,2020,1,9505.837184264356
1119,2020-01-31,9350.529296875,29432489719.0,3225.52001953125,9149.45913653391,9058.46275111607,2020,1,9435.496801149513
1120,2020-02-01,9392.875,25922656496.0,3225.52001953125,9210.31310240043,9204.895228794643,2020,2,9308.938800647395
1121,2020-02-02,9344.365234375,30835736946.0,3225.52001953125,9243.826135394072,9311.685965401786,2020,2,9216.829134403595
1122,2020-02-03,9293.521484375,30934096509.0,3248.919921875,9256.249972639305,9366.500558035714,2020,2,9144.200725454291
1123,2020-02-04,9180.962890625,29893183716.0,3297.590087890625,9237.428202135728,9341.125279017857,2020,2,9133.35087642718
1124,2020-02-05,9613.423828125,35222060874.0,3334.68994140625,9331.427108633046,9383.5244140625,2020,2,9354.235960260683
1125,2020-02-06,9729.8017578125,37628823716.0,3345.780029296875,9431.02077092791,9415.06849888393,2020,2,9601.239554028596
1126,2020-02-07,9795.943359375,34522718159.0,3327.7099609375,9522.251418039681,9478.69907924107,2020,2,9734.623993310124
1127,2020-02-08,9865.119140625,35172043762.0,3327.7099609375,9607.96834868601,9546.162527901786,2020,2,9860.017744643932
1128,2020-02-09,10116.673828125,35807884663.0,3327.7099609375,9735.144718545756,9656.49232700893,2020,2,10024.04114550232
1129,2020-02-10,9856.611328125,39386548075.0,3352.090087890625,9765.511370940567,9736.93373325893,2020,2,9969.248326417308
1130,2020-02-11,10208.236328125,37648059389.0,3357.75,9876.192610236676,9883.687081473214,2020,2,9999.841089301004
1131,2020-02-12,10326.0546875,43444303830.0,3379.449951171875,9988.658129552507,9985.491489955357,2020,2,10159.162782850297
1132,2020-02-13,10214.3798828125,49356071373.0,3373.93994140625,10045.088567867506,10054.71693638393,2020,2,10216.056543006966
1133,2020-02-14,10312.1162109375,43338264162.0,3380.159912109375,10111.845478635003,10128.45591517857,2020,2,10242.28864409766
1134,2020-02-15,9889.4248046875,43865054831.0,3380.159912109375,10056.240310148127,10131.928152901786,2020,2,10070.15967304877
1135,2020-02-16,9934.43359375,43374780305.0,3380.159912109375,10025.788631048594,10105.893833705357,2020,2,10028.62542708297
1136,2020-02-17,9690.142578125,45998298413.0,3380.159912109375,9941.877117817696,10082.112583705357,2020,2,9835.269092284634
1137,2020-02-18,10141.99609375,47271023953.0,3370.2900390625,9991.906861800771,10072.649693080357,2020,2,10010.696335684575
1138,2020-02-19,9633.38671875,46992019710.0,3386.14990234375,9902.276826038078,9973.69712611607,2020,2,9938.259750639192
1139,2020-02-20,9608.4755859375,44925260237.0,3373.22998046875,9828.826516012932,9887.139369419643,2020,2,9882.111262973282
1140,2020-02-21,9686.44140625,40930547513.0,3337.75,9793.230238572198,9797.757254464286,2020,2,9937.430953945795
1141,2020-02-22,9663.181640625,35838025154.0,3337.75,9760.718089085398,9765.436802455357,2020,2,9882.05709217654
1142,2020-02-23,9924.515625,41185185761.0,3337.75,9801.667473064048,9764.019949776786,2020,2,10031.787189216133
1143,2020-02-24,9650.1748046875,45080496648.0,3225.889892578125,9763.794305969912,9758.310267857143,2020,2,9947.723178253813
1144,2020-02-25,9341.705078125,42515259129.0,3128.2099609375,9658.271999008683,9643.982979910714,2020,2,9849.646660792114
1145,2020-02-26,8820.5224609375,50420050762.0,3116.389892578125,9448.834614490886,9527.85951450893,2020,2,9487.283920928703
1146,2020-02-27,8784.494140625,45470195695.0,2978.760009765625,9282.749496024415,9410.147879464286,2020,2,9203.594944122862
1147,2020-02-28,8672.455078125,44605450443.0,2954.219970703125,9130.175891549561,9265.292689732143,2020,2,9031.781107800698
1148,2020-02-29,8599.5087890625,35792392544.0,2954.219970703125,8997.509115927796,9113.339425223214,2020,2,8898.882452821144
1149,2020-03-01,8562.4541015625,35349164300.0,2954.219970703125,8888.745362336473,8918.759207589286,2020,3,8960.534944207597
1150,2020-03-02,8869.669921875,42857674409.0,3090.22998046875,8883.976502221105,8807.258510044643,2020,3,9201.74069095255
1151,2020-03-03,8787.7861328125,42386715821.0,3003.3701171875,8859.928909868953,8728.127232142857,2020,3,9287.382075580223
1152,2020-03-04,8755.24609375,34746706368.0,3130.1201171875,8833.758205839214,8718.802036830357,2020,3,9192.11148296618
1153,2020-03-05,9078.7626953125,39698054597.0,3023.93994140625,8895.009328207536,8760.840401785714,2020,3,9315.177160401334
1154,2020-03-06,9122.5458984375,40826885651.0,2972.3701171875,8951.893470765028,8825.139090401786,2020,3,9362.836499950594
1155,2020-03-07,8909.9541015625,36216930370.0,2972.3701171875,8941.408628464394,8869.48842075893,2020,3,9221.79590581097
1156,2020-03-08,8108.1162109375,39973102121.0,2972.3701171875,8733.08552408267,8804.5830078125,2020,3,8741.405533388917
1157,2020-03-09,7923.64453125,46936995808.0,2746.56005859375,8530.725275874502,8669.4365234375,2020,3,8437.066575678517
1158,2020-03-10,7909.7294921875,42213940994.0,2882.22998046875,8375.476329952751,8543.99986049107,2020,3,8199.208262742399
1159,2020-03-11,7911.43017578125,38682762605.0,2741.3798828125,8259.464791409877,8423.45472935268,2020,3,8078.3128517118585
1160,2020-03-12,4970.7880859375,53980357243.0,2480.639892578125,7437.295615041782,7836.601213727678,2020,3,6852.485155682797
1161,2020-03-13,5563.70703125,74156772075.0,2711.02001953125,6968.898469093837,7328.195661272322,2020,3,6549.921199919912
1162,2020-03-14,5200.3662109375,36154506008.0,2711.02001953125,6526.765404554753,6798.254534040178,2020,3,6116.30643641338
1163,2020-03-15,5392.31494140625,33997889639.0,2711.02001953125,6243.1527887676275,6410.282924107143,2020,3,6032.594907084408
